"Latest Tweets","最新的鸣叫"
"about","关于"
"days ago","几天前"
"hours ago","小时前"
"minutes ago","几分钟前"
"seconds ago","秒前"
"Flickr Stream","Flickr的流"
"Email address","电子邮件地址"
"Join","加入"
"Enter your e-mail Address","输入你的电子邮箱地址"
"SEARCH","搜索"
"Cart %s items for %s","车％s％s的项目"
"Cart %s item for %s","车％s％s的项目"
"Shopping Cart","购物车"
"All Categories","所有类别"
"Catalog Category Search","目录分类搜索"
"Search","搜索"
"Search entire store here...","这里搜索整店..."
"Select Category On Category Pages","选择类别在类别页面"
"Show Subcategories","显示小类"
"Subcategory Indentation","子类别缩进"
"Be the First to Know","是第一个知道"
"Submit","提交"
"You've just added this product to the cart:","您刚刚添加该产品加入购物车："
