The Shipping Settings has been saved.,The Shipping Settings has been saved.
The Shipping Methods has been saved.,The Shipping Methods has been saved.
Vendor Rates,Vendor Rates
Active,Active
Origin Address Details,Origin Address Details
Zip/Postal Code,Zip/Postal Code
City,City
State/Province,State/Province
Enable Vendor MultiShipping System,Enable Vendor MultiShipping System
Vendor Multi Shipping,Vendor Multi Shipping
Vendor Shipping Carriers,Vendor Shipping Carriers
Please select shipping method for each vendor.,Please select shipping method for each vendor.
Vendor MultiShipping Carrier Title,Vendor MultiShipping Carrier Title
Vendor MultiShipping Method Title,Vendor MultiShipping Method Title
Complete Shipping Origin Setting,Complete Shipping Origin Setting
Setup Shipping Methods Details,Setup Shipping Methods Details
